[Friday/July 04/07/2025 10:09:54] Tehran (2020) - S03E05 - Unfinished Business [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2101.16 | time=1632.88
[Friday/July 04/07/2025 12:04:30] ./Tehran (2020) - S03E01 - Radioactive World [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2936.08 | time=5
[Saturday/July 05/07/2025 00:53:37] Tehran (2020) - S03E05 - Unfinished Business [WEBDL-1080p][AAC 2.0][h264]-Kan.mkv | length=2101.16 | time=2055.48
[Saturday/July 05/07/2025 01:37:22] Tehran.S03E06.1080p.WEB.h264-Kan.mkv | length=2388.32 | time=2339.16
[Saturday/July 05/07/2025 13:13:24] C:\Users\gal\Downloads\S03E07 - Nissan's Moment of Truth.mkv | length=2819.993 | time=184.423
[Sunday/July 06/07/2025 22:32:18] C:\Users\gal\Downloads\WhatsApp Video 2025-07-06 at 13.36.43_8a670ee9.mp4 | length=9.9149206349206 | time=9.3416666666667
[Tuesday/July 08/07/2025 13:30:10] C:\Users\gal\Downloads\WhatsApp Video 2025-07-08 at 13.24.04_1cf833cf.mp4 | length=64.614433333333 | time=54.350666666667
[Tuesday/July 15/07/2025 11:00:43] C:\Users\gal\Downloads\download.mp4 | length=1195.316893424 | time=1080.573
[Tuesday/July 15/07/2025 11:01:50] C:\Users\gal\Downloads\download.mp4 | length=2376.2370068027 | time=2128.644
[Tuesday/July 15/07/2025 11:06:00] C:\Users\gal\Downloads\download.mp4 | length=940.59399092971 | time=859.232
[Thursday/July 17/07/2025 23:24:29] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 02)\[Anime Time] Attack On Titan - 26.mkv | length=1452.055 | time=98.953
[Thursday/July 17/07/2025 23:29:15] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 02)\[Anime Time] Attack On Titan - 26.mkv | length=1452.055 | time=57.662
[Friday/July 18/07/2025 00:05:20] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 02)\[Anime Time] Attack On Titan - 26.mkv | length=1452.055 | time=1452.013
[Friday/July 18/07/2025 01:44:26] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 02)\[Anime Time] Attack On Titan - 27.mkv | length=1452.139 | time=1.272
